cu_id;kategorie;curve_skewness;area_total;slope_rising;slope_falling;global_max_x;global_min_x;Top1_Minima_Druck;Peak_to_Minima_Diff;cluster;PCA1;PCA2
40;3;1.41442553870233;858.7086793266309;104.97758269878362;-130.44367703070117;0.5634375214576721;0.3521250188350677;-2.071549654006958;620.6939251422882;2;-3.0255321368847143;1.0337188795514114
41;3;1.1750553903501066;782.9461382679908;31.95028848639383;-56.514868653006964;0.6676875352859497;0.5030625462532043;-3.903784036636353;487.903936624527;1;4.3961522006241545;-0.5115101260338984
42;3;1.2502960223939699;827.3077437385966;132.15845498209103;-158.13918884498966;0.5533750057220459;0.432625025510788;-2.107852697372437;528.4045445919037;0;-0.9642426637758008;0.2912199318221186
43;3;1.2706100670709446;872.6139701440236;130.94105591129065;-127.08674598167876;0.5433125495910645;0.4024375081062317;-2.046635866165161;551.8833668231964;0;-1.9670038948229542;0.8238385270247449
44;3;1.2773487627549363;802.1633271908406;131.96760342185297;-34.767996872427005;0.6338750123977661;0.4930000305175781;-2.347737312316895;535.2423295974731;1;2.572143440365295;0.016933457627180994
45;3;1.2454326401143385;814.3301005204796;25.42494451933511;-99.06825211354732;0.6300625205039978;0.452750027179718;-2.164086580276489;523.2815792560577;1;1.9177341731024957;1.0172292245500059
46;3;1.331355142755583;789.8109229013487;182.15591662174728;-147.988852064767;0.5735000371932983;0.432625025510788;-2.46874737739563;563.5024387836456;0;-0.8293902145796258;-0.4825998943916347
47;3;1.25981063780074;805.257252416983;90.6552262175744;-32.5443506934342;0.6456250548362732;0.4829375147819519;-2.37905740737915;534.0243821144104;1;2.838535908487863;0.42264085910918614
48;3;1.2509799835875577;820.9159556585382;52.73732533274889;-53.01953258046268;0.6137500405311584;0.432625025510788;-2.187576770782471;527.4806065559387;1;1.1856354709626744;1.1747100701441495
49;3;1.2391572726151376;869.9110846316469;95.80220721731503;-155.73464123136705;0.5735000371932983;0.432625025510788;-2.470170974731445;563.4775562286377;0;-0.7434911966082947;0.44371333248356987
