cu_id;kategorie;area_total;slope_rising;global_max_x;global_min_x;Top1_Minima_Druck;Top1_Minima_Position_x;cluster;PCA1;PCA2
133;7;436.04978149037913;127.58315319515845;1.189687609672546;14.74831295013428;-13.14673328399658;14.74831295013428;2;0.7576774244843109;0.6014497864608959
134;7;436.2743391984088;61.000156573972355;1.205937504768372;14.77343845367432;-13.10223293304443;14.77343845367432;2;1.6443612461148234;0.6491371089838986
135;7;445.7379108670072;249.60906228205752;1.18081259727478;14.74831295013428;-12.37306976318359;14.74831295013428;2;0.6417959738239104;0.44279567051574314
136;7;429.8799281234347;242.64509425277987;1.205937504768372;14.74831295013428;-12.48694705963135;14.74831295013428;2;1.8689922137594375;0.5556830100646251
137;7;433.54362003806295;332.35788954677435;1.194687604904175;14.69806289672852;-12.39899921417236;14.69806289672852;2;1.1877137024214575;0.4498996031839395
138;7;421.7697387604186;197.96233684279696;1.205937504768372;14.69806289672852;-13.01078128814697;14.69806289672852;2;1.7665228175827365;0.6166093620365929
139;7;439.38695155130335;281.0994039527345;1.198000073432922;14.69806289672852;-12.22870922088623;14.69806289672852;2;1.5085354771539778;0.4095921146898211
140;7;444.42584217615934;278.0511048213193;1.188750028610229;14.74831295013428;-11.90214443206787;14.74831295013428;2;0.938572000623943;0.36038063741377524
141;7;433.2775740904192;307.8136247594882;1.191500067710876;14.72318840026855;-13.77463340759277;14.72318840026855;2;1.1515257980407758;0.7525158011029696
142;7;449.0810500317186;102.9698285354712;1.20187509059906;14.69806289672852;-11.67123699188232;14.69806289672852;2;1.5535990116803027;0.24688035040534112
143;7;438.37342753722885;167.6035078349823;1.205937504768372;14.74831295013428;-12.44665241241455;14.74831295013428;2;1.5894996171177491;0.49103931016246205
144;7;436.2404772942579;220.28149394311845;1.18081259727478;14.77343845367432;-12.98765563964844;14.77343845367432;2;0.6593485866516314;0.621142400729747
145;7;447.8238324799757;101.91633256311547;1.205937504768372;14.72318840026855;-12.14881992340088;14.72318840026855;2;1.5092739697665234;0.3586812955588453
146;7;439.4141712078633;256.42611856122323;1.196500062942505;14.74831295013428;-11.88953113555908;14.74831295013428;2;1.3295039993642142;0.3837261569974345
147;7;437.430915648486;157.57723323789756;1.196187615394592;14.69806289672852;-13.36572742462158;14.69806289672852;2;1.2221366295578597;0.6108007587913851
148;7;447.9082759202316;70.62249066486815;1.205937504768372;14.72318840026855;-11.86255073547363;14.72318840026855;2;1.6137766706927508;0.3096102396495282
149;7;442.18283378589916;1.1016734436309688;1.205937504768372;14.72318840026855;-12.48484516143799;14.72318840026855;2;1.5053486007335777;0.43454506276397925
150;7;439.8274030435759;134.14313194874248;1.167625069618225;14.77343845367432;-13.27602672576904;14.77343845367432;2;-0.28625357446203;0.6096692715685368
151;7;442.25130941751513;74.19316391793599;1.18081259727478;14.77343845367432;-11.81419658660889;14.77343845367432;2;0.5420054640892267;0.3440731303131987
152;7;430.84815571317733;243.5877751554824;1.197625041007996;14.69806289672852;-12.14461517333984;14.69806289672852;2;1.373784635145256;0.4054496187564521
153;7;429.15589685100053;239.67274852282682;1.202937602996826;14.69806289672852;-13.01813983917236;14.69806289672852;2;1.6166405649423918;0.5923536467408338
154;7;437.220235242372;121.11198687292037;1.205937504768372;14.79856300354004;-12.36956596374512;14.79856300354004;2;1.5866049782162104;0.5302170409005191
155;7;448.65028954844354;141.31421549322798;1.205937504768372;14.69806289672852;-12.05071067810059;14.69806289672852;2;1.7113747374464776;0.32976636703870016
156;7;441.71458351723743;70.53868088800978;1.205937504768372;14.72318840026855;-12.46767520904541;14.72318840026855;2;1.6598660473343325;0.45165579783946014
157;7;437.5235430259154;218.39223640278686;1.204187512397766;14.74831295013428;-11.85028743743896;14.74831295013428;2;1.6702418672171864;0.38930021803732584
158;7;441.429130895119;155.33017280447447;1.205937504768372;14.72318840026855;-12.10502147674561;14.72318840026855;2;1.7909016160112081;0.39973338827477645
159;7;440.7488888928825;396.358298183257;1.205937504768372;14.77343845367432;-13.45893096923828;14.77343845367432;2;1.8476797078973752;0.7528479548743976
160;7;465.15626461212;364.26765608763606;1.205937504768372;14.77343845367432;-12.13690662384033;14.77343845367432;2;1.9462068754932647;0.41879152354414195
161;7;453.14086566850153;335.6529822465542;1.192062497138977;14.77343845367432;-12.19717407226562;14.77343845367432;2;1.106902977589789;0.4286312755402724
162;7;448.7496949939134;106.89511916228123;1.205937504768372;14.74831295013428;-13.74344825744629;14.74831295013428;2;1.6016633226096564;0.7085361493335888
163;7;447.8447470442565;222.48036731722593;1.193937540054321;14.77343845367432;-11.86710548400879;14.77343845367432;2;1.2001048836238566;0.3744414648222414
164;7;437.8276770122661;1280.1297220973208;1.151500105857849;14.74831295013428;-12.03424263000488;14.74831295013428;2;-2.2205242251848256;0.314545384792434
165;7;425.35100852227896;917.2761675189444;1.155687570571899;14.74831295013428;-13.16425228118896;14.74831295013428;2;-2.171253768381149;0.537563810690231
166;7;439.5755031086748;394.1105691673846;1.160687565803528;14.69806289672852;-12.253586769104;14.69806289672852;2;-1.3267532818687748;0.27225711260018415
167;7;438.7625642171871;1697.4974522820162;1.147875070571899;14.74831295013428;-12.47923851013184;14.74831295013428;1;-3.2025806590928805;0.35443572066961715
168;7;441.93259561325834;1530.2886536276662;1.148500084877014;14.74831295013428;-13.26831817626953;14.74831295013428;1;-3.1835982872814226;0.48686251280513027
169;7;450.49321144012487;1300.840365660092;1.130375027656555;14.74831295013428;-11.81314563751221;14.74831295013428;1;-6.112940634725429;-0.07053279103009906
170;7;442.73635062849;1571.0374596191675;1.130562543869019;14.72318840026855;-11.99079418182373;14.72318840026855;1;-5.90412857239759;0.006601641198583386
171;7;433.4582519928515;447.19189247612024;1.139812588691711;14.74831295013428;-13.57841396331787;14.74831295013428;1;-5.194485726335695;0.3179430937008335
172;7;442.3100016053261;1697.6003620727904;1.130562543869019;14.74831295013428;-11.77320098876953;14.74831295013428;1;-5.7749298081761;0.018136968622388124
173;7;453.47523175896765;1723.8837267411836;1.130562543869019;14.74831295013428;-12.18771362304688;14.74831295013428;1;-6.177644375018952;0.02691237866271941
174;7;434.33430014831015;387.29042447215204;1.138250112533569;14.69806289672852;-12.69262599945068;14.69806289672852;1;-5.0980272856885245;0.09003722426017892
175;7;442.0857426878728;1452.0438247600987;1.130562543869019;14.74831295013428;-12.50761985778809;14.74831295013428;1;-5.906384646627948;0.1266965174318322
176;7;446.5017126991009;1311.1141487191715;1.138062596321106;14.77343845367432;-12.63796520233154;14.77343845367432;1;-5.157988793537324;0.206093250912227
177;7;450.9776943040214;1505.3524661758177;1.130562543869019;14.77343845367432;-11.90109348297119;14.77343845367432;1;-5.411079208181421;0.057532565932850804
